[ 2012-08-14T21:40:50+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:40:51+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:40:51+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:40:52+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:40:52+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:03+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:04+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:04+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:13+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:13+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:28+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:28+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:35+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:36+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:37+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:38+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:46+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:50+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:50+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:51+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:41:57+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:09+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:21+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:22+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:27+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:28+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:28+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:32+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:33+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:38+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:38+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:48+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:55+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:58+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:42:59+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:04+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:05+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:05+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:12+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:12+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:20+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:40+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:40+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:47+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:48+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:57+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:58+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:43:58+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:44:18+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:44:18+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:44:20+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:44:30+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:44:30+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:44:34+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:44:35+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:12+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:13+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:14+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:14+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:14+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:14+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:15+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:15+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:35+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:35+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:36+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:36+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:41+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:45:41+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:03+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:25+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:25+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:36+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:37+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:46+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:51+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:52+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:46:52+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:05+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:06+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:20+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:21+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:21+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:26+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:27+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:27+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:28+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:29+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:38+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:47:39+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:02+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:03+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:03+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
[ 2012-08-14T21:48:03+08:00 ] /passport-resg/init | ERR: 模块passport->resg未找到。，IP：127.0.0.1
